n,model,train_error,test_error
59,adaboost,0.17825,0.18866666666666668
59,bagged_trees,0.0235,0.20533333333333334
59,random_forest,0.023583333333333335,0.19916666666666666
60,adaboost,0.17820833333333333,0.1885
60,bagged_trees,0.023541666666666666,0.20483333333333334
60,random_forest,0.02375,0.19766666666666666
61,adaboost,0.17833333333333334,0.18866666666666668
61,bagged_trees,0.0235,0.20566666666666666
61,random_forest,0.023583333333333335,0.19866666666666666
62,adaboost,0.17820833333333333,0.1885
62,bagged_trees,0.023541666666666666,0.205
62,random_forest,0.023666666666666666,0.19816666666666666
63,adaboost,0.17833333333333334,0.18866666666666668
63,bagged_trees,0.023458333333333335,0.205
63,random_forest,0.023541666666666666,0.19916666666666666
64,adaboost,0.178125,0.18866666666666668
64,bagged_trees,0.0235,0.20433333333333334
64,random_forest,0.023666666666666666,0.1985
65,adaboost,0.17825,0.18866666666666668
65,bagged_trees,0.023458333333333335,0.205
65,random_forest,0.023416666666666665,0.19816666666666666
66,adaboost,0.178125,0.18866666666666668
66,bagged_trees,0.023541666666666666,0.205
66,random_forest,0.0235,0.198
67,adaboost,0.17816666666666667,0.18866666666666668
67,bagged_trees,0.023458333333333335,0.20383333333333334
67,random_forest,0.023333333333333334,0.19733333333333333
68,adaboost,0.178125,0.18866666666666668
68,bagged_trees,0.023416666666666665,0.2045
68,random_forest,0.023375,0.1985
69,adaboost,0.17816666666666667,0.18866666666666668
69,bagged_trees,0.023416666666666665,0.2045
69,random_forest,0.023291666666666665,0.1985
70,adaboost,0.17825,0.18833333333333332
70,bagged_trees,0.023375,0.20383333333333334
70,random_forest,0.023416666666666665,0.1985
71,adaboost,0.1785,0.18883333333333333
71,bagged_trees,0.023333333333333334,0.20533333333333334
71,random_forest,0.023208333333333334,0.1975
72,adaboost,0.17804166666666665,0.18866666666666668
72,bagged_trees,0.023375,0.20566666666666666
72,random_forest,0.023291666666666665,0.198
73,adaboost,0.17804166666666665,0.18866666666666668
73,bagged_trees,0.023333333333333334,0.206
73,random_forest,0.023208333333333334,0.19733333333333333
74,adaboost,0.178,0.1885
74,bagged_trees,0.023375,0.20616666666666666
74,random_forest,0.02325,0.1975
75,adaboost,0.17808333333333334,0.1885
75,bagged_trees,0.023333333333333334,0.2065
75,random_forest,0.023208333333333334,0.19733333333333333
76,adaboost,0.17754166666666665,0.18816666666666668
76,bagged_trees,0.023333333333333334,0.20566666666666666
76,random_forest,0.023208333333333334,0.19816666666666666
77,adaboost,0.17779166666666665,0.1885
77,bagged_trees,0.023333333333333334,0.20533333333333334
77,random_forest,0.023208333333333334,0.19816666666666666
78,adaboost,0.17775,0.18833333333333332
78,bagged_trees,0.023375,0.20516666666666666
78,random_forest,0.023208333333333334,0.19883333333333333
79,adaboost,0.17758333333333334,0.18833333333333332
79,bagged_trees,0.023291666666666665,0.20566666666666666
79,random_forest,0.023208333333333334,0.1985
80,adaboost,0.17766666666666667,0.18833333333333332
80,bagged_trees,0.023291666666666665,0.20566666666666666
80,random_forest,0.023208333333333334,0.19716666666666666
81,adaboost,0.17766666666666667,0.18833333333333332
81,bagged_trees,0.02325,0.20583333333333334
81,random_forest,0.023208333333333334,0.19816666666666666
82,adaboost,0.177875,0.18833333333333332
82,bagged_trees,0.02325,0.20633333333333334
82,random_forest,0.02325,0.197
83,adaboost,0.17766666666666667,0.18833333333333332
83,bagged_trees,0.02325,0.20566666666666666
83,random_forest,0.023208333333333334,0.19683333333333333
84,adaboost,0.17783333333333334,0.18833333333333332
84,bagged_trees,0.02325,0.20566666666666666
84,random_forest,0.02325,0.1965
85,adaboost,0.17745833333333333,0.18816666666666668
85,bagged_trees,0.02325,0.20616666666666666
