t,train_error,test_error
151,0.49848284285961697,0.6113166339845006
152,0.4985264536365161,0.12825197964928936
153,0.4989531857374226,0.8373339461774307
154,0.4989693918362471,0.23013922984647783
155,0.4992115425471999,0.6810027621718764
156,0.4994679597875245,0.12825349643049502
157,0.4994146773280576,0.858389313088567
158,0.4994309671158664,0.12825522487040708
159,0.4994468028352068,0.8583883777810213
160,0.499297603319427,0.45328106705231913
161,0.49873667914795244,0.7406320514049742
162,0.4986067901515888,0.12825872051763282
163,0.4994768576085141,0.858374172585402
164,0.4993627289013167,0.19594822554585561
165,0.4985275467520976,0.7317182223801164
166,0.4992943264733094,0.15813722885670672
167,0.4993015201882944,0.7055436222927911
168,0.4995326819649374,0.12822917679238952
169,0.4994946487151729,0.8584212345408363
170,0.4995086991592032,0.128230689799951
171,0.49952235849306104,0.8584204129497062
172,0.4982738510207879,0.5870976669009138
173,0.49926529665866615,0.2693642192562262
174,0.49931449596144906,0.5369040024475056
175,0.49938311440230176,0.7696867074301532
176,0.49932687889662114,0.12821987615140532
177,0.49953927623106253,0.8584037028996887
178,0.49941869624036545,0.3602434888340419
179,0.4994221533983771,0.8373943079807844
180,0.49926952169625916,0.12821374593321802
181,0.499554418178941,0.8584148429776818
182,0.49943062048674314,0.43136392026709547
183,0.4989913396330766,0.1888407436967442
184,0.4980859579132059,0.41601298024403344
185,0.49940016682570726,0.3117046658126077
186,0.4981407136919277,0.48711997981991767
187,0.49951937329704643,0.6538124281910372
188,0.4991556883122815,0.7406273929149257
189,0.49885567537156655,0.12825486441223283
190,0.49957536669762076,0.8584029691753167
191,0.4994552137512938,0.35137063024092796
192,0.49949470934633705,0.8373936019269311
193,0.4993262650955357,0.1282419690822314
194,0.49959743206510243,0.8584186752801773
195,0.4994901638272112,0.31102022732930784
196,0.4989886931908619,0.7466936269778597
197,0.49910812075546435,0.12825367324064044
198,0.4994933963460299,0.6245723074432683
199,0.4991264283706549,0.44565521090307636
200,0.49952023144374824,0.4991826760940951
201,0.49970572504982913,0.8584028880623493
202,0.4995404887889897,0.4418695060876637
203,0.4994699344919087,0.1959218493714349
204,0.49951994610326106,0.6685091349012638
205,0.49977831311578796,0.1282415156981061
206,0.4996522397153386,0.8584142023130799
207,0.4996148427352456,0.7697163838395054
208,0.49904651712253,0.15627522798429042
209,0.49857845476933954,0.5801823281436416
210,0.49875598668425836,0.6110611395387207
211,0.4995085404162226,0.1282265422892721
212,0.4993104624909651,0.7673858118033515
213,0.4995375350679671,0.12822841561553922
214,0.49968079407222865,0.8584203521912129
215,0.4994327062043158,0.3809981387184091
216,0.49915022990467983,0.7406886273816606
217,0.4991909825781853,0.198240214571805
218,0.4998301134838663,0.12821269903959287
219,0.499692139166986,0.8584331959137248
220,0.49954973483290604,0.767407626609063
221,0.4990079780102822,0.24798544243149312
222,0.49962007105461476,0.8584574836876848
223,0.4997070419032789,0.12819193802876375
224,0.4997151630163446,0.8584576844121665
225,0.4996118627741215,0.31118947572016065
226,0.4996595740676707,0.6447920657812232
227,0.49977712695754795,0.12819029281528443
228,0.499729995959854,0.8584602109607398
229,0.4996703567318487,0.3206924388559931
230,0.4996724056570905,0.8374384900179732
231,0.4995719786352294,0.12819443677379666
232,0.49974508878225277,0.8584562291247192
233,0.4996734686398319,0.39222407485541944
234,0.49920318807491104,0.6750134999961088
235,0.49928252563326936,0.34645337249525066
236,0.49956093565373627,0.5939668610016724
237,0.4995625712624949,0.7468352737605982
238,0.4989612240896648,0.1888063132001735
239,0.4994828100773664,0.8373126806021055
240,0.4994104479343828,0.39152374736554274
241,0.4996156230648665,0.8374746162204036
242,0.49944466897028605,0.5581494258041373
243,0.49938155502722426,0.31226923324491995
244,0.49986799061723686,0.12817222486955296
245,0.4997708262778209,0.8584813899255646
246,0.4997771773092627,0.12817283609654084
247,0.49978335229320475,0.8584809899758995
248,0.4996621291791363,0.43387924335371664
249,0.4998408063381575,0.12817484119321207
250,0.49979277231372776,0.8584776454310658
251,0.4995500802978138,0.3944595035916084
252,0.4991139444437639,0.5026513400097382
253,0.49934035442453795,0.21609547147890018
254,0.4993685644949446,0.8374516962074575
255,0.4995774796805079,0.3267834585153126
256,0.49985885914617306,0.8584852908744043
257,0.49961568290091285,0.7468108104087312
258,0.4993127243571218,0.18880047491376556
259,0.4996399646957427,0.659079045056724
260,0.49990916887602965,0.8584759714536807
261,0.4997074907713984,0.5460122979665056
262,0.49958744543467726,0.19666767401017948
263,0.4997287965889519,0.8584708697024064
264,0.49979143107551527,0.4290883737727361
265,0.4998986253221125,0.12817073786405764
266,0.49984451105799893,0.8584765955193838
267,0.49965752889915727,0.2203001662398907
268,0.49942133674522127,0.611048400444741
269,0.4997360266301035,0.12815933656650833
270,0.49979595845820357,0.8128556662365372
271,0.49983013201533455,0.1281590356595523
272,0.49974247645465686,0.8374970467726854
273,0.4997648936464853,0.12815775153303197
274,0.49985470396537685,0.8584841324712598
275,0.4997302001315049,0.5581672668993332
276,0.4998515330845203,0.1281591374965432
277,0.499858647623771,0.85847678306684
278,0.49981622916699253,0.4560000413208546
279,0.4996437158307291,0.4829343146319078
280,0.4998905735549729,0.8584776099947342
281,0.49981568027228207,0.1824857445602769
282,0.49963283679949766,0.7468109403430199
283,0.4997243073310922,0.12816602692151444
284,0.4998148948686252,0.7200483578724467
285,0.4995633476427285,0.4160060487077642
286,0.4996801508731999,0.12817801017085056
287,0.4997719281896151,0.7673806412067197
288,0.49984704644909295,0.1281788214556523
289,0.49987025438681665,0.8584702205801906
290,0.49983530931575504,0.2454616643633477
291,0.4996642607326621,0.34646502802835477
292,0.49949568400460936,0.6749323226761189
293,0.4997337370848607,0.5940117574463543
294,0.49967632852095495,0.1999678621812734
295,0.4998177785898761,0.858485235778387
296,0.4998356549988115,0.20626945732237612
297,0.4997987275296164,0.8374722539211774
298,0.49981782630871224,0.13764805469208646
299,0.4998496226330904,0.7109601986576704
300,0.49990649778491075,0.12816036351016627
301,0.49989012509456165,0.858489299704859
302,0.4997888438788247,0.74078533678955
303,0.49973455861734684,0.1281619011636754
304,0.4998958243730974,0.8584862614458981
305,0.4998629643657455,0.42328213905956413
306,0.4997390314953749,0.35114211069919643
307,0.4995364442721517,0.580275625378137
308,0.4996140875399615,0.6110141229959953
309,0.4998219632683186,0.1281595107289742
310,0.4998194691169168,0.8374846209000193
311,0.49979803711990173,0.18768269052997666
312,0.4999077463708541,0.8584884152197576
313,0.49986422339948433,0.37780301015402823
314,0.49976062242936314,0.21718509000059433
315,0.4998150888979441,0.8584887107320115
316,0.49987549182505137,0.48003174772786217
317,0.4998208533697027,0.3464805641318794
318,0.4998608121479913,0.4796184727212112
319,0.4998720325499324,0.837491648801082
320,0.499852211147093,0.3170595222019054
321,0.49992762976879224,0.12815119733883384
322,0.49991698791877337,0.858497618582959
323,0.49987483638648256,0.4552077496861632
324,0.4998213519919018,0.7468637748548406
325,0.4997937755992302,0.1281544073115913
326,0.49989858837243495,0.6924516555992769
327,0.4998085982441979,0.5581819533196093
328,0.4998343459164513,0.30274333467220516
329,0.4999007137817604,0.8584896746229138
330,0.499924469121395,0.12815403992417126
331,0.4998676913113801,0.8374867020413612
332,0.4998792035790358,0.1281533615480884
333,0.4999263352633533,0.8584905606500342
334,0.4998978392918425,0.3417126684972209
335,0.4998813790084854,0.15654253224452497
336,0.4998620431793076,0.8584950533600558
337,0.4998994302171404,0.4263545261545787
338,0.4999168852880713,0.4943297363918441
339,0.49988726197617095,0.12948974962734314
340,0.4998276852132636,0.8374917620378648
341,0.4999099981062059,0.12814877254420776
342,0.4999192579180737,0.7273520978898115
343,0.499842445963686,0.18879429176324836
344,0.4998522665845805,0.8373387240352073
345,0.4999396905359337,0.12814800346351055
346,0.4999385518938313,0.8584980893064951
347,0.49979832979492594,0.4159895168731128
348,0.49980580839416544,0.16387509601052125
349,0.49991711165729147,0.858494986282046
350,0.4998749827816452,0.12949412298954371
351,0.49973960626075575,0.5026604760405724
352,0.49978244577593384,0.6749135429409272
353,0.49985863337851855,0.7468802391497609
354,0.49979477676138667,0.18880235477985985
355,0.4998838153454662,0.5906408844636232
356,0.49993399492314045,0.48483841268633654
357,0.4998512223482316,0.21606455928916152
358,0.4998650858868442,0.8021111033633666
359,0.49978324759605197,0.5942204028020115
360,0.49993117350964156,0.12814723600026856
361,0.4999487569404055,0.8584982368874061
362,0.49988736112690035,0.3464909496633539
363,0.4999245344325187,0.5585478301981098
364,0.49994402470914134,0.8398146293109632
365,0.4998656888286375,0.12948855794780428
366,0.4999072056638788,0.8373457326593363
367,0.4999576975201897,0.12814452393928583
368,0.49995263152394054,0.8585026954474076
369,0.4998090695465871,0.48703694109116297
370,0.4998850356294326,0.5581943818279524
371,0.49989946411705505,0.30272596542565905
372,0.49997434227242143,0.8585047454143023
373,0.49994804424956696,0.12582054177938212
374,0.4999193979345141,0.8398238124020576
375,0.4999343159846644,0.12814172382927122
376,0.4999540085340817,0.8585046593762289
377,0.49987550388255886,0.6110010928423893
378,0.4998807473718095,0.12814039524710336
379,0.4999361003106966,0.569689439699453
380,0.4999655740122983,0.8585048822734478
381,0.4999456351053384,0.7673848099260734
382,0.4999214436036637,0.12814040632085244
383,0.4999484604565383,0.6782482054126784
384,0.499971366327345,0.12814012933337451
385,0.4999594342464716,0.8585045979143298
386,0.4999576470969701,0.3170572963883522
387,0.49996291771084006,0.47019803233468943
388,0.49998020991342185,0.12814044410971964
389,0.4999616887741237,0.858504055895554
390,0.4999104686524209,0.22057771762202288
391,0.49993956876462503,0.8373487552739476
392,0.49997155910502905,0.12813884527277575
393,0.4999626177005081,0.8585060423229771
394,0.49995364710064955,0.19594307700589442
395,0.4999365562573305,0.7673820017061899
396,0.499841057617773,0.5803132022681228
397,0.4998949061337002,0.6110001749081557
398,0.4998969955475279,0.1281394334132199
399,0.49989318098247226,0.7468870863124524
400,0.4999192375177618,0.12814008388307407
401,0.49993830087293156,0.7673757802548743
402,0.49995146122057954,0.19713702899520402
403,0.49996532872485216,0.6100954886144673
404,0.49992005457720756,0.7408157805523763
405,0.4998886548875795,0.129485656573882
406,0.49994630002238627,0.6924579747566446
407,0.4999629952569218,0.8585061997672623
408,0.4999619897288557,0.2730303212179751
409,0.4999802105759405,0.8585062317757892
410,0.4999632826944616,0.3267019993411404
411,0.4999767884555818,0.39200933979414676
412,0.49995198679168706,0.8398305491028502
413,0.49995382761052387,0.1281384363317155
414,0.49996924731996395,0.8585068013011616
415,0.4999700993897261,0.12813855538409807
416,0.4999797649023951,0.692946520712515
417,0.49998203248785816,0.5048762533230355
418,0.4998931416621226,0.4159955108366383
419,0.4999368758868736,0.12814204753791048
420,0.49998392252601176,0.7593802104105755
421,0.4999827274855657,0.858504982099096
422,0.49996972735342704,0.13762551816556537
423,0.4999854581088108,0.7063157160984532
424,0.4999355508111949,0.512687885923401
425,0.49997914637092267,0.8585047392257039
426,0.49997049137404825,0.128141477280449
427,0.4999812573114257,0.6782425260786061
428,0.4999816520340609,0.8585047377688192
429,0.499971747769849,0.12814141449152908
430,0.4999843196990329,0.5883169588632553
431,0.4999853386187347,0.5596193748493545
432,0.49998688098229094,0.42921467346053854
433,0.4999869602437238,0.5596193046010967
434,0.49997829967430774,0.858504730526234
435,0.49997277340647384,0.12814149520030332
436,0.4999853130921462,0.7312842600347943
437,0.4999867026897634,0.311841753050617
438,0.4999872010714578,0.6472968405193249
439,0.4999872137234206,0.389681635019564
440,0.49998739606571885,0.5991517295772659
441,0.49998747221510764,0.3896816255489455
442,0.49995996255540887,0.8375034584274917
443,0.49995894852962264,0.1281412807623359
444,0.49998564293973735,0.7582547922776168
445,0.49998334174332093,0.8585050087402489
446,0.49997362459214534,0.12814133546369877
447,0.49998679377946226,0.7312838099138088
448,0.4999345225217423,0.610989843270201
449,0.49988932538279585,0.216047814990485
450,0.4999079335407105,0.7408157835992092
451,0.4999515297025686,0.3202303706579371
452,0.4999804628246923,0.40451119783786055
453,0.4999852707790443,0.6687555559567998
