model,n_iter,train_error,test_error
Stochastic Gradient Descent,86,57.53009408999251,78.43178731467727
Batch Gradient Descent,87,872.6846762266545,868.8073181348507
Stochastic Gradient Descent,87,56.07511194877362,77.4469751664256
Batch Gradient Descent,88,868.2695961209927,864.458635517488
Stochastic Gradient Descent,88,55.765168451345374,77.27090454220172
Batch Gradient Descent,89,863.8783577519036,860.1336473710135
Stochastic Gradient Descent,89,55.29022249075577,77.03902417309946
Batch Gradient Descent,90,859.5108323574271,855.8322251548317
Stochastic Gradient Descent,90,54.622316027486,76.92742625576173
Batch Gradient Descent,91,855.1668918710069,851.5542410241027
Stochastic Gradient Descent,91,54.63474547898058,76.92011604873555
Batch Gradient Descent,92,850.8464089177352,847.299567825984
Stochastic Gradient Descent,92,54.780225072845404,76.88050389648237
Batch Gradient Descent,93,846.5492568106173,843.0680790958861
Stochastic Gradient Descent,93,55.02846006755346,76.9156673581632
Batch Gradient Descent,94,842.275309546858,838.8596490537523
Stochastic Gradient Descent,94,54.473141277674706,76.94645493046724
Batch Gradient Descent,95,838.0244418041633,834.6741526003585
Stochastic Gradient Descent,95,54.473239704758264,77.22006735496043
Batch Gradient Descent,96,833.7965289370677,830.5114653136301
Stochastic Gradient Descent,96,54.458084018425815,76.98174538775275
Batch Gradient Descent,97,829.591446973279,826.3714634449836
Stochastic Gradient Descent,97,54.46352773532532,76.95700297867171
Batch Gradient Descent,98,825.4090726100396,822.2540239156823
Stochastic Gradient Descent,98,54.460166428641614,76.97126552904078
Batch Gradient Descent,99,821.2492832105152,818.159024313216
Stochastic Gradient Descent,99,54.63676242503779,76.77657904547372
Batch Gradient Descent,100,817.1119568001947,814.0863428876994
Stochastic Gradient Descent,100,54.73508698977752,76.76570369462692
Batch Gradient Descent,101,812.9969720633137,810.0358585482874
Stochastic Gradient Descent,101,54.486396732459994,76.82390532717888
Batch Gradient Descent,102,808.9042083392992,806.0074508596138
Stochastic Gradient Descent,102,54.43903767642958,76.90377174057862
Batch Gradient Descent,103,804.8335456192283,802.0010000382464
Stochastic Gradient Descent,103,54.50466947168836,76.80479177193592
Batch Gradient Descent,104,800.7848645423098,798.0163869491615
Stochastic Gradient Descent,104,55.01333899306906,76.78726191324579
Batch Gradient Descent,105,796.7580463923849,794.0534931022396
Stochastic Gradient Descent,105,54.64709373848551,76.72474996828528
Batch Gradient Descent,106,792.7529730944442,790.1122006487764
Stochastic Gradient Descent,106,54.53609851519133,76.74136354801264
Batch Gradient Descent,107,788.769527211166,786.192392378016
Stochastic Gradient Descent,107,54.38869981825825,76.95546269225554
Batch Gradient Descent,108,784.8075919394711,782.2939517137013
Stochastic Gradient Descent,108,54.43600815068525,76.79875170790542
Batch Gradient Descent,109,780.8670511070998,778.4167627106432
Stochastic Gradient Descent,109,54.39897375347643,77.07335883832157
Batch Gradient Descent,110,776.9477891692025,774.5607100513084
Stochastic Gradient Descent,110,54.39235244330041,76.97246448087687
Batch Gradient Descent,111,773.0496912049529,770.7256790424258
Stochastic Gradient Descent,111,54.48115159897403,76.74961876363034
Batch Gradient Descent,112,769.1726429141767,766.9115556116107
Stochastic Gradient Descent,112,54.722768692741006,76.7003453754388
Batch Gradient Descent,113,765.3165306140014,763.1182263040081
Stochastic Gradient Descent,113,55.31872360487295,76.89645656264337
Batch Gradient Descent,114,761.48124123552,759.3455782789539
Stochastic Gradient Descent,114,55.30486315586841,76.89006868789899
Batch Gradient Descent,115,757.666662320477,755.5934993066522
Stochastic Gradient Descent,115,55.71582138852189,77.09452644991967
Batch Gradient Descent,116,753.8726820179695,751.8618777648751
Stochastic Gradient Descent,116,54.36328837430428,76.7358117045527
Batch Gradient Descent,117,750.0991890811687,748.1506026356748
Stochastic Gradient Descent,117,54.356821063217254,77.09898163465482
Batch Gradient Descent,118,746.3460728640545,744.4595635021182
Stochastic Gradient Descent,118,54.49799620845739,77.4879855536151
Batch Gradient Descent,119,742.6132233181735,740.7886505450352
Stochastic Gradient Descent,119,55.29745118892689,78.88230021800467
Batch Gradient Descent,120,738.9005309894106,737.1377545397891
Stochastic Gradient Descent,120,54.956314959709616,78.34537501146336
Batch Gradient Descent,121,735.2078870147787,733.5067668530588
Stochastic Gradient Descent,121,54.994036533074,78.40744473952225
Batch Gradient Descent,122,731.5351831192276,729.8955794396435
Stochastic Gradient Descent,122,55.68315827552575,79.45538278601822
Batch Gradient Descent,123,727.882311612467,726.3040848392825
Stochastic Gradient Descent,123,54.286652038313676,77.06805238483322
Batch Gradient Descent,124,724.24916538581,722.7321761734909
Stochastic Gradient Descent,124,54.28665287056868,77.06805471300673
Batch Gradient Descent,125,720.6356379090308,719.1797471424153
Batch Gradient Descent,126,717.0416232272406,715.6466920217042
Batch Gradient Descent,127,713.4670159577825,712.1329056593962
Batch Gradient Descent,128,709.9117112871375,708.6382834728252
Batch Gradient Descent,129,706.375604967854,705.1627214455414
Batch Gradient Descent,130,702.8585933154887,701.7061161242501
Batch Gradient Descent,131,699.3605732055672,698.2683646157666
Batch Gradient Descent,132,695.8814420705585,694.849364583987
Batch Gradient Descent,133,692.4210978968681,691.449014246876
Batch Gradient Descent,134,688.9794392218457,688.0672123734713
Batch Gradient Descent,135,685.5563651308103,684.7038582809028
Batch Gradient Descent,136,682.1517752540909,681.3588518314293
Batch Gradient Descent,137,678.7655697640822,678.0320934294912
Batch Gradient Descent,138,675.3976493723175,674.7234840187776
Batch Gradient Descent,139,672.0479153265576,671.4329250793115
Batch Gradient Descent,140,668.7162694078935,668.1603186245484
Batch Gradient Descent,141,665.4026139278675,664.905567198492
Batch Gradient Descent,142,662.1068517256074,661.6685738728266
Batch Gradient Descent,143,658.8288861649772,658.4492422440615
Batch Gradient Descent,144,655.5686211317438,655.2474764306944
Batch Gradient Descent,145,652.3259610307578,652.0631810703878
Batch Gradient Descent,146,649.10081078315,648.8962613171627
Batch Gradient Descent,147,645.8930758235439,645.7466228386048
Batch Gradient Descent,148,642.7026620972817,642.6141718130884
Batch Gradient Descent,149,639.5294760576662,639.498814927014
Batch Gradient Descent,150,636.3734246632181,636.4004593720607
Batch Gradient Descent,151,633.2344153749458,633.3190128424543
Batch Gradient Descent,152,630.1123561536343,630.2543835322488
